title,genres,overview,cast,director,keywords,vote_average,poster_path,language,industry
"Corbeau, Le (Raven, The) (1943)",Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,8.5,,English,Hollywood
Pickup on South Street (1953),Film-Noir,Movie with genres Film-Noir. User tags: ,,,,8.0,,English,Hollywood
"Damned, The (La Caduta degli dei) (1969)",Drama War,Movie with genres Drama War. User tags: ,,,,7.0,,English,Hollywood
Just One of the Guys (1985),Comedy,Movie with genres Comedy. User tags: ,,,,5.5,,English,Hollywood
"Wrong Arm of the Law, The (1963)",Comedy Crime,Movie with genres Comedy Crime. User tags: ,,,,7.0,,English,Hollywood
Agent Cody Banks 2: Destination London (2004),Action Adventure Children Comedy,Movie with genres Action Adventure Children Comedy. User tags: ,,,,8.0,,English,Hollywood
"Girl Next Door, The (2004)",Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,6.25,,English,Hollywood
Secret Window (2004),Mystery Thriller,Movie with genres Mystery Thriller. User tags: ,,,,6.6,,English,Hollywood
Spartan (2004),Thriller,Movie with genres Thriller. User tags: ,,,,7.0,,English,Hollywood
Broken Wings (Knafayim Shvurot) (2002),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Wilbur Wants to Kill Himself (2002),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,8.0,,English,Hollywood
Mad Dog and Glory (1993),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,6.67,,English,Hollywood
Peyton Place (1957),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,7.0,,English,Hollywood
Dawn of the Dead (2004),Action Drama Horror Thriller,Movie with genres Action Drama Horror Thriller. User tags: ,,,,7.81,,English,Hollywood
Eternal Sunshine of the Spotless Mind (2004),Drama Romance Sci-Fi,Movie with genres Drama Romance Sci-Fi. User tags: Jim Carrey alternate reality arthouse artistic atmospheric beautiful bittersweet colourful comedy cult film dreamlike emotional feel-good happpiness humane imagination insightful intelligent jim carrey love lovely melancholy memory mind-bending philosophy quirky quirky romantic romantic surreal surrealism thought-provoking,,,Jim Carrey alternate reality arthouse artistic atmospheric beautiful bittersweet colourful comedy cult film dreamlike emotional feel-good happpiness humane imagination insightful intelligent jim carrey love lovely melancholy memory mind-bending philosophy quirky quirky romantic romantic surreal surrealism thought-provoking,8.32,,English,Hollywood
Taking Lives (2004),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,6.5,,English,Hollywood
Intermission (2003),Comedy Crime Drama,Movie with genres Comedy Crime Drama. User tags: ,,,,8.0,,English,Hollywood
Jersey Girl (2004),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,5.88,,English,Hollywood
"Ladykillers, The (2004)",Comedy Crime,Movie with genres Comedy Crime. User tags: ,,,,5.14,,English,Hollywood
Never Die Alone (2004),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,7.0,,English,Hollywood
Scooby-Doo 2: Monsters Unleashed (2004),Action Adventure Children Comedy Mystery,Movie with genres Action Adventure Children Comedy Mystery. User tags: ,,,,4.5,,English,Hollywood
Dogville (2003),Drama Mystery Thriller,Movie with genres Drama Mystery Thriller. User tags: Grace,,,Grace,8.05,,English,Hollywood
Ned Kelly (2003),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Hellboy (2004),Action Adventure Fantasy Horror,Movie with genres Action Adventure Fantasy Horror. User tags: ,,,,6.76,,English,Hollywood
"Prince & Me, The (2004)",Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,6.14,,English,Hollywood
Walking Tall (2004),Action,Movie with genres Action. User tags: ,,,,6.0,,English,Hollywood
"United States of Leland, The (2003)",Crime Drama,Movie with genres Crime Drama. User tags: ,,,,7.0,,English,Hollywood
The Alamo (2004),Drama War Western,Movie with genres Drama War Western. User tags: ,,,,7.0,,English,Hollywood
Ella Enchanted (2004),Comedy Fantasy Romance,Movie with genres Comedy Fantasy Romance. User tags: ,,,,6.71,,English,Hollywood
"Whole Ten Yards, The (2004)",Action Comedy Crime,Movie with genres Action Comedy Crime. User tags: ,,,,6.29,,English,Hollywood
I'm Not Scared (Io non ho paura) (2003),Drama Mystery Thriller,Movie with genres Drama Mystery Thriller. User tags: adolescence crime for katie,,,adolescence crime for katie,8.5,,English,Hollywood
"Ten Commandments, The (1956)",Adventure Drama,Movie with genres Adventure Drama. User tags: ,,,,7.5,,English,Hollywood
Dawn of the Dead (1978),Action Drama Horror,Movie with genres Action Drama Horror. User tags: ,,,,7.95,,English,Hollywood
Prey for Rock & Roll (2003),Drama Musical,Movie with genres Drama Musical. User tags: ,,,,3.0,,English,Hollywood
Those Magnificent Men in Their Flying Machines (1965),Action Adventure Comedy,Movie with genres Action Adventure Comedy. User tags: ,,,,5.0,,English,Hollywood
Cheaper by the Dozen (1950),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,5.5,,English,Hollywood
Scenes From a Marriage (Scener ur ett äktenskap) (1973),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Munchies (1987),Comedy Horror,Movie with genres Comedy Horror. User tags: ,,,,3.0,,English,Hollywood
Going in Style (1979),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,5.0,,English,Hollywood
After Hours (1985),Comedy Thriller,Movie with genres Comedy Thriller. User tags: ,,,,7.57,,English,Hollywood
Kill Bill: Vol. 2 (2004),Action Drama Thriller,Movie with genres Action Drama Thriller. User tags: revenge,,,revenge,7.74,,English,Hollywood
"Punisher, The (2004)",Action Crime Thriller,Movie with genres Action Crime Thriller. User tags: comic book,,,comic book,7.0,,English,Hollywood
Paper Clips (2004),Documentary,Movie with genres Documentary. User tags: Holocaust,,,Holocaust,6.5,,English,Hollywood
This So-Called Disaster (2003),Documentary,Movie with genres Documentary. User tags: ,,,,7.0,,English,Hollywood
13 Going on 30 (2004),Comedy Fantasy Romance,Movie with genres Comedy Fantasy Romance. User tags: Mark Ruffalo,,,Mark Ruffalo,6.38,,English,Hollywood
Man on Fire (2004),Action Crime Drama Mystery Thriller,Movie with genres Action Crime Drama Mystery Thriller. User tags: ,,,,7.26,,English,Hollywood
Envy (2004),Comedy,Movie with genres Comedy. User tags: ,,,,5.5,,English,Hollywood
Godsend (2004),Drama Horror Thriller,Movie with genres Drama Horror Thriller. User tags: ,,,,5.0,,English,Hollywood
Laws of Attraction (2004),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,5.5,,English,Hollywood
Mean Girls (2004),Comedy,Movie with genres Comedy. User tags: High School clever lesbian subtext,,,High School clever lesbian subtext,7.51,,English,Hollywood
Van Helsing (2004),Action Adventure Fantasy Horror,Movie with genres Action Adventure Fantasy Horror. User tags: ,,,,5.42,,English,Hollywood
"Mudge Boy, The (2003)",Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Breakin' All the Rules (2004),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,7.0,,English,Hollywood
Troy (2004),Action Adventure Drama War,Movie with genres Action Adventure Drama War. User tags: ,,,,6.85,,English,Hollywood
Carandiru (2003),Crime Drama,Movie with genres Crime Drama. User tags: ,,,,9.0,,English,Hollywood
Coffee and Cigarettes (2003),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.17,,English,Hollywood
Eye See You (D-Tox) (2002),Horror Thriller,Movie with genres Horror Thriller. User tags: ,,,,5.0,,English,Hollywood
Watch on the Rhine (1943),Drama,Movie with genres Drama. User tags: World War II,,,World War II,8.0,,English,Hollywood
Enemy Mine (1985),Adventure Drama Sci-Fi,Movie with genres Adventure Drama Sci-Fi. User tags: ,,,,8.0,,English,Hollywood
Enter the Dragon (1973),Action Crime,Movie with genres Action Crime. User tags: ,,,,8.08,,English,Hollywood
Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,9.5,,English,Hollywood
Henry & June (1990),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Martin (1977),Drama Horror,Movie with genres Drama Horror. User tags: ,,,,8.0,,English,Hollywood
"Three Faces of Eve, The (1957)",Drama,Movie with genres Drama. User tags: multiple personalities,,,multiple personalities,8.0,,English,Hollywood
100 Girls (2000),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,6.5,,English,Hollywood
Fail-Safe (1964),Drama Thriller War,Movie with genres Drama Thriller War. User tags: ,,,,8.0,,English,Hollywood
Paperhouse (1988),Fantasy Horror Thriller,Movie with genres Fantasy Horror Thriller. User tags: ,,,,7.0,,English,Hollywood
Dobermann (1997),Action Crime,Movie with genres Action Crime. User tags: ,,,,5.0,,English,Hollywood
Kwaidan (Kaidan) (1964),Horror,Movie with genres Horror. User tags: ,,,,5.0,,English,Hollywood
28 Up (1985),Documentary,Movie with genres Documentary. User tags: ,,,,8.0,,English,Hollywood
You Only Live Twice (1967),Action Adventure Sci-Fi Thriller,Movie with genres Action Adventure Sci-Fi Thriller. User tags: ,,,,7.67,,English,Hollywood
Octopussy (1983),Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: ,,,,6.62,,English,Hollywood
Wit (2001),Drama,Movie with genres Drama. User tags: cancer,,,cancer,9.0,,English,Hollywood
Never Say Never Again (1983),Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: ,,,,6.25,,English,Hollywood
Pride and Prejudice (1940),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,7.33,,English,Hollywood
"Fountainhead, The (1949)",Drama,Movie with genres Drama. User tags: ,,,,6.5,,English,Hollywood
Woman of the Year (1942),Comedy Romance,Movie with genres Comedy Romance. User tags: Hepburn and Tracy marriage,,,Hepburn and Tracy marriage,8.0,,English,Hollywood
"Samouraï, Le (Godson, The) (1967)",Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,8.0,,English,Hollywood
Oklahoma! (1955),Musical Romance Western,Movie with genres Musical Romance Western. User tags: Rogers and Hammerstein,,,Rogers and Hammerstein,9.0,,English,Hollywood
Desert Hearts (1985),Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
Body Double (1984),Mystery Thriller,Movie with genres Mystery Thriller. User tags: ,,,,5.0,,English,Hollywood
Chaplin (1992),Drama,Movie with genres Drama. User tags: In Netflix queue biopic,,,In Netflix queue biopic,7.0,,English,Hollywood
"Miracle Worker, The (1962)",Drama,Movie with genres Drama. User tags: blindness deaf,,,blindness deaf,7.33,,English,Hollywood
Monster in a Box (1992),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,8.0,,English,Hollywood
School Ties (1992),Drama,Movie with genres Drama. User tags: ,,,,5.5,,English,Hollywood
Raising Cain (1992),Horror Thriller,Movie with genres Horror Thriller. User tags: ,,,,1.0,,English,Hollywood
Rose Red (2002),Horror Mystery Thriller,Movie with genres Horror Mystery Thriller. User tags: Stephen King,,,Stephen King,6.0,,English,Hollywood
Noises Off... (1992),Comedy,Movie with genres Comedy. User tags: ,,,,7.5,,English,Hollywood
Babylon 5: In the Beginning (1998),Adventure Sci-Fi,Movie with genres Adventure Sci-Fi. User tags: space station,,,space station,5.6,,English,Hollywood
"Witchfinder General (Conquerer Worm, The) (1968)",Horror,Movie with genres Horror. User tags: ,,,,4.0,,English,Hollywood
Versus (2000),Action Comedy Fantasy Horror,Movie with genres Action Comedy Fantasy Horror. User tags: ,,,,7.5,,English,Hollywood
Pride and Prejudice (1995),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,7.11,,English,Hollywood
"China Syndrome, The (1979)",Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,7.4,,English,Hollywood
"Wages of Fear, The (Salaire de la peur, Le) (1953)",Action Adventure Drama Thriller,Movie with genres Action Adventure Drama Thriller. User tags: In Netflix queue,,,In Netflix queue,6.6,,English,Hollywood
Look Who's Talking Too (1990),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,3.57,,English,Hollywood
"Bells of St. Mary's, The (1945)",Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
"Delta Force, The (1986)",Action,Movie with genres Action. User tags: ,,,,4.0,,English,Hollywood
Pat and Mike (1952),Comedy Romance,Movie with genres Comedy Romance. User tags: Hepburn and Tracy sports,,,Hepburn and Tracy sports,8.0,,English,Hollywood
Animal Crackers (1930),Comedy Musical,Movie with genres Comedy Musical. User tags: ,,,,8.25,,English,Hollywood
"He Said, She Said (1991)",Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,4.0,,English,Hollywood
Bedazzled (1967),Comedy Fantasy,Movie with genres Comedy Fantasy. User tags: ,,,,4.0,,English,Hollywood
Cat People (1942),Drama Horror Romance Thriller,Movie with genres Drama Horror Romance Thriller. User tags: sexuality,,,sexuality,8.0,,English,Hollywood
Camelot (1967),Drama Musical Romance,Movie with genres Drama Musical Romance. User tags: King Arthur,,,King Arthur,8.0,,English,Hollywood
"Lonely Guy, The (1984)",Comedy,Movie with genres Comedy. User tags: ,,,,7.0,,English,Hollywood
"Four Musketeers, The (1974)",Action Adventure Comedy Romance,Movie with genres Action Adventure Comedy Romance. User tags: ,,,,5.5,,English,Hollywood
Protocol (1984),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
"Postman Always Rings Twice, The (1946)",Crime Drama Film-Noir Thriller,Movie with genres Crime Drama Film-Noir Thriller. User tags: adultery,,,adultery,7.33,,English,Hollywood
Matinee (1993),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,6.0,,English,Hollywood
Baxter (1989),Drama Horror,Movie with genres Drama Horror. User tags: ,,,,1.0,,English,Hollywood
Explorers (1985),Adventure Children Sci-Fi,Movie with genres Adventure Children Sci-Fi. User tags: ,,,,7.0,,English,Hollywood
"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)",Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Pierrot le fou (1965),Crime Drama,Movie with genres Crime Drama. User tags: In Netflix queue,,,In Netflix queue,7.75,,English,Hollywood
Weekend (a.k.a. Le Week-end) (Week End) (1967),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Tuesdays with Morrie (1999),Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
Alexander Nevsky (Aleksandr Nevskiy) (1938),Action Drama War,Movie with genres Action Drama War. User tags: ,,,,8.0,,English,Hollywood
Jason and the Argonauts (1963),Action Adventure Fantasy,Movie with genres Action Adventure Fantasy. User tags: ,,,,7.0,,English,Hollywood
"Tinker, Tailor, Soldier, Spy (1979)",Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,7.25,,English,Hollywood
Throne of Blood (Kumonosu jô) (1957),Action Drama Thriller War,Movie with genres Action Drama Thriller War. User tags: MacBeth,,,MacBeth,8.0,,English,Hollywood
"Best of Youth, The (La meglio gioventù) (2003)",Drama,Movie with genres Drama. User tags: ,,,,9.5,,English,Hollywood
Undercurrent (1946),Film-Noir Thriller,Movie with genres Film-Noir Thriller. User tags: ,,,,7.0,,English,Hollywood
"Bang, Bang, You're Dead (2002)",Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Twister (1990),Comedy,Movie with genres Comedy. User tags: ,,,,3.0,,English,Hollywood
Sniper (1993),Action Drama,Movie with genres Action Drama. User tags: ,,,,6.0,,English,Hollywood
Genghis Blues (1999),Documentary,Movie with genres Documentary. User tags: ,,,,7.0,,English,Hollywood
"11'09""01 - September 11 (2002)",Drama,Movie with genres Drama. User tags: terrorism,,,terrorism,8.0,,English,Hollywood
"Parallax View, The (1974)",Thriller,Movie with genres Thriller. User tags: In Netflix queue,,,In Netflix queue,6.52,,English,Hollywood
"Warriors, The (1979)",Action Adventure Crime Thriller,Movie with genres Action Adventure Crime Thriller. User tags: ,,,,7.88,,English,Hollywood
Babylon 5: A Call to Arms (1999),Adventure Sci-Fi,Movie with genres Adventure Sci-Fi. User tags: ,,,,6.67,,English,Hollywood
Babylon 5: The River of Souls (1998),Drama Sci-Fi,Movie with genres Drama Sci-Fi. User tags: ,,,,8.0,,English,Hollywood
Babylon 5: Thirdspace (1998),Drama Sci-Fi,Movie with genres Drama Sci-Fi. User tags: ,,,,7.33,,English,Hollywood
True Stories (1986),Comedy Musical,Movie with genres Comedy Musical. User tags: ,,,,10.0,,English,Hollywood
"Virgin Spring, The (Jungfrukällan) (1960)",Crime Drama,Movie with genres Crime Drama. User tags: ,,,,7.5,,English,Hollywood
Mogambo (1953),Adventure Drama Romance,Movie with genres Adventure Drama Romance. User tags: ,,,,6.0,,English,Hollywood
"Secret Life of Walter Mitty, The (1947)",Comedy Romance Thriller,Movie with genres Comedy Romance Thriller. User tags: ,,,,7.0,,English,Hollywood
Another Thin Man (1939),Comedy Crime Drama Mystery Romance,Movie with genres Comedy Crime Drama Mystery Romance. User tags: Nick and Nora Charles,,,Nick and Nora Charles,7.0,,English,Hollywood
"Thin Man Goes Home, The (1945)",Comedy Crime Mystery,Movie with genres Comedy Crime Mystery. User tags: Nick and Nora Charles,,,Nick and Nora Charles,7.0,,English,Hollywood
Shadow of the Thin Man (1941),Comedy Crime Mystery,Movie with genres Comedy Crime Mystery. User tags: Nick and Nora Charles,,,Nick and Nora Charles,7.0,,English,Hollywood
After the Thin Man (1936),Comedy Crime Mystery Romance,Movie with genres Comedy Crime Mystery Romance. User tags: Nick and Nora Charles,,,Nick and Nora Charles,5.67,,English,Hollywood
Song of the Thin Man (1947),Comedy Crime Drama Musical Mystery Romance,Movie with genres Comedy Crime Drama Musical Mystery Romance. User tags: Nick and Nora Charles,,,Nick and Nora Charles,7.0,,English,Hollywood
Love Crazy (1941),Comedy,Movie with genres Comedy. User tags: ,,,,7.0,,English,Hollywood
Gunga Din (1939),Adventure Comedy War,Movie with genres Adventure Comedy War. User tags: ,,,,6.33,,English,Hollywood
Children of Dune (2003),Fantasy Sci-Fi,Movie with genres Fantasy Sci-Fi. User tags: ,,,,7.5,,English,Hollywood
Dune (2000),Drama Fantasy Sci-Fi,Movie with genres Drama Fantasy Sci-Fi. User tags: ,,,,8.75,,English,Hollywood
Lammbock (2001),Comedy,Movie with genres Comedy. User tags: ,,,,9.0,,English,Hollywood
"Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)",Action Comedy,Movie with genres Action Comedy. User tags: ,,,,7.0,,English,Hollywood
Tremors II: Aftershocks (1996),Comedy Horror Sci-Fi,Movie with genres Comedy Horror Sci-Fi. User tags: ,,,,5.4,,English,Hollywood
Tremors 3: Back to Perfection (2001),Comedy Horror Sci-Fi,Movie with genres Comedy Horror Sci-Fi. User tags: ,,,,6.0,,English,Hollywood
Notorious C.H.O. (2002),Comedy,Movie with genres Comedy. User tags: ,,,,7.0,,English,Hollywood
The Plague of the Zombies (1966),Horror,Movie with genres Horror. User tags: ,,,,6.0,,English,Hollywood
I Walked with a Zombie (1943),Drama Horror,Movie with genres Drama Horror. User tags: ,,,,4.0,,English,Hollywood
Highway 61 (1991),Comedy,Movie with genres Comedy. User tags: ,,,,6.5,,English,Hollywood
How to Succeed in Business Without Really Trying (1967),Comedy Musical,Movie with genres Comedy Musical. User tags: ,,,,8.5,,English,Hollywood
Pat Garrett and Billy the Kid (1973),Western,Movie with genres Western. User tags: ,,,,7.5,,English,Hollywood
"Last Man on Earth, The (Ultimo uomo della Terra, L') (1964)",Drama Horror Sci-Fi,Movie with genres Drama Horror Sci-Fi. User tags: ,,,,6.0,,English,Hollywood
"Duck, You Sucker (1971)",Action Western,Movie with genres Action Western. User tags: ,,,,7.0,,English,Hollywood
Bring Me the Head of Alfredo Garcia (1974),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,7.0,,English,Hollywood
Ride the High Country (1962),Adventure Drama Western,Movie with genres Adventure Drama Western. User tags: ,,,,7.0,,English,Hollywood
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action,Movie with genres Action. User tags: ,,,,9.0,,English,Hollywood
Frankenstein Must Be Destroyed (1969),Drama Horror Sci-Fi,Movie with genres Drama Horror Sci-Fi. User tags: ,,,,6.0,,English,Hollywood
Gidget (1959),Comedy,Movie with genres Comedy. User tags: ,,,,7.0,,English,Hollywood
Desperate Living (1977),Comedy Crime,Movie with genres Comedy Crime. User tags: ,,,,7.0,,English,Hollywood
Stray Dog (Nora inu) (1949),Drama Film-Noir Thriller,Movie with genres Drama Film-Noir Thriller. User tags: In Netflix queue,,,In Netflix queue,7.0,,English,Hollywood
"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",Action Adventure,Movie with genres Action Adventure. User tags: ,,,,8.5,,English,Hollywood
High and Low (Tengoku to jigoku) (1963),Crime Drama Film-Noir Thriller,Movie with genres Crime Drama Film-Noir Thriller. User tags: In Netflix queue,,,In Netflix queue,8.0,,English,Hollywood
"People Under the Stairs, The (1991)",Horror Mystery Thriller,Movie with genres Horror Mystery Thriller. User tags: ,,,,7.5,,English,Hollywood
Dark Days (2000),Documentary,Movie with genres Documentary. User tags: Amtrak Homeless New York Sundance award winner Train independent,,,Amtrak Homeless New York Sundance award winner Train independent,7.33,,English,Hollywood
Zelig (1983),Comedy,Movie with genres Comedy. User tags: psychology,,,psychology,8.0,,English,Hollywood
Shame (Skammen) (1968),Drama War,Movie with genres Drama War. User tags: austere,,,austere,8.0,,English,Hollywood
"Silence, The (Tystnaden) (1963)",Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
Winter Light (Nattvardsgästerna) (1963),Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
Through a Glass Darkly (Såsom i en spegel) (1961),Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
The Magician (1958),Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
"Killers, The (1946)",Crime Film-Noir,Movie with genres Crime Film-Noir. User tags: ,,,,8.0,,English,Hollywood
"Night of the Iguana, The (1964)",Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,6.0,,English,Hollywood
Nightbreed (1990),Fantasy Horror,Movie with genres Fantasy Horror. User tags: ,,,,4.0,,English,Hollywood
Ken Park (2002),Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
Monterey Pop (1968),Documentary Musical,Movie with genres Documentary Musical. User tags: ,,,,7.0,,English,Hollywood
"Bridge Too Far, A (1977)",Action Drama War,Movie with genres Action Drama War. User tags: ,,,,7.57,,English,Hollywood
Infernal Affairs (Mou gaan dou) (2002),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: police,,,police,8.67,,English,Hollywood
"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",Drama Horror Mystery Thriller,Movie with genres Drama Horror Mystery Thriller. User tags: ,,,,6.5,,English,Hollywood
Broadway Danny Rose (1984),Comedy,Movie with genres Comedy. User tags: show business,,,show business,8.4,,English,Hollywood
From Beyond (1986),Horror Sci-Fi,Movie with genres Horror Sci-Fi. User tags: ,,,,8.0,,English,Hollywood
Robot Jox (1990),Sci-Fi,Movie with genres Sci-Fi. User tags: ,,,,2.0,,English,Hollywood
Dolls (1987),Horror,Movie with genres Horror. User tags: ,,,,5.0,,English,Hollywood
Space Truckers (1996),Comedy Sci-Fi,Movie with genres Comedy Sci-Fi. User tags: ,,,,4.0,,English,Hollywood
Death Race 2000 (1975),Action Sci-Fi,Movie with genres Action Sci-Fi. User tags: ,,,,7.33,,English,Hollywood
"Bucket Of Blood, A (1959)",Comedy Horror,Movie with genres Comedy Horror. User tags: ,,,,5.0,,English,Hollywood
Brigadoon (1954),Fantasy Musical Romance,Movie with genres Fantasy Musical Romance. User tags: ,,,,8.0,,English,Hollywood
"Power of One, The (1992)",Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
"Weather Underground, The (2002)",Documentary,Movie with genres Documentary. User tags: politics,,,politics,8.0,,English,Hollywood
Kikujiro (Kikujirô no natsu) (1999),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.33,,English,Hollywood
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama,Movie with genres Drama. User tags: In Netflix queue,,,In Netflix queue,8.5,,English,Hollywood
"Phantom Tollbooth, The (1970)",Adventure Animation Children Fantasy,Movie with genres Adventure Animation Children Fantasy. User tags: ,,,,7.0,,English,Hollywood
"Getaway, The (1972)",Action Crime Drama Thriller,Movie with genres Action Crime Drama Thriller. User tags: ,,,,8.0,,English,Hollywood
Dark Water (Honogurai mizu no soko kara) (2002),Drama Horror Mystery Thriller,Movie with genres Drama Horror Mystery Thriller. User tags: remade,,,remade,8.0,,English,Hollywood
"Thing Called Love, The (1993)",Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,7.0,,English,Hollywood
The Thief (1997),Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
How to Steal a Million (1966),Comedy Crime Romance,Movie with genres Comedy Crime Romance. User tags: In Netflix queue,,,In Netflix queue,7.33,,English,Hollywood
"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",Crime Horror Thriller,Movie with genres Crime Horror Thriller. User tags: ,,,,4.0,,English,Hollywood
Mean Streets (1973),Crime Drama,Movie with genres Crime Drama. User tags: ,,,,8.0,,English,Hollywood
Jack the Bear (1993),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,3.0,,English,Hollywood
I Am a Fugitive from a Chain Gang (1932),Crime Drama Film-Noir,Movie with genres Crime Drama Film-Noir. User tags: ,,,,7.33,,English,Hollywood
Hamburger Hill (1987),Action Drama War,Movie with genres Action Drama War. User tags: ,,,,4.0,,English,Hollywood
Sweet Bird of Youth (1962),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Frankenstein Unbound (1990),Drama Horror Sci-Fi,Movie with genres Drama Horror Sci-Fi. User tags: ,,,,6.0,,English,Hollywood
Shiri (Swiri) (1999),Action Drama Romance Thriller,Movie with genres Action Drama Romance Thriller. User tags: ,,,,7.0,,English,Hollywood
Bad Day at Black Rock (1955),Drama Thriller Western,Movie with genres Drama Thriller Western. User tags: In Netflix queue,,,In Netflix queue,7.0,,English,Hollywood
In China They Eat Dogs (I Kina spiser de hunde) (1999),Action Comedy,Movie with genres Action Comedy. User tags: ,,,,8.0,,English,Hollywood
Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),Action Adventure Thriller War,Movie with genres Action Adventure Thriller War. User tags: ,,,,8.0,,English,Hollywood
Crossroads (1986),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
"Seducing Doctor Lewis (Grande séduction, La) (2003)",Comedy,Movie with genres Comedy. User tags: ,,,,4.0,,English,Hollywood
Sunrise: A Song of Two Humans (1927),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,8.0,,English,Hollywood
Shock Corridor (1963),Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
Au revoir les enfants (1987),Drama,Movie with genres Drama. User tags: ,,,,8.2,,English,Hollywood
Pursuit of Happiness (2001),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,7.0,,English,Hollywood
Gladiator (1992),Action Drama,Movie with genres Action Drama. User tags: ,,,,8.67,,English,Hollywood
Indestructible Man (1956),Crime Horror Sci-Fi,Movie with genres Crime Horror Sci-Fi. User tags: ,,,,1.0,,English,Hollywood
"Wasp Woman, The (1959)",Horror Sci-Fi,Movie with genres Horror Sci-Fi. User tags: ,,,,1.0,,English,Hollywood
Attack of the Giant Leeches (1959),Horror Sci-Fi,Movie with genres Horror Sci-Fi. User tags: ,,,,4.5,,English,Hollywood
Dead or Alive: Hanzaisha (1999),Action Crime,Movie with genres Action Crime. User tags: ,,,,8.5,,English,Hollywood
